Total Nacional - Región_0,total_1,hombres_2,mujeres_3,total_4,hombres_5,mujeres_6
Total Nacional,1313190,1079990,233200,19047260,12427080,6620180
Región de Arica y Parinacota,13990,8870,5120,114380,78640,35740
Región de Tarapacá ,2560,1900,660,29140,20860,8280
Región de Antofagasta,1510,1170,340,10400,8710,1690
Región de Atacama,17100,14570,2530,411360,274290,137070
Región de Coquimbo,90950,69620,21330,743840,487880,255960
Región de Valparaíso,173710,139050,34660,2448660,1796810,651850
Región Metropolitana de Santiago,149970,127940,22030,1596300,1020360,575940
Región del Libertador General Bernardo O'Higgins,228450,192380,36070,3462130,2262000,1200130
Región del Maule,218800,172190,46610,3908560,2538380,1370180
Región de Ñuble,67860,59560,8300,1058420,548090,510330
Región del Biobío ,47000,42030,4970,2613320,1331650,1281670
Región de La Araucanía,134230,103330,30900,1150620,857590,293030
Región de Los Ríos ,66670,59170,7500,351770,171820,179950
Región de Los Lagos,80130,69510,10620,303000,196060,106940
Región de Aysén del General Carlos Ibáñez del Campo,6690,6280,410,790150,784600,5550
Región de Magallanes y de la Antártica Chilena,13570,12420,1150,55210,49340,5870
