0,1,2,3,4,5,6
"","","",tipo_de_colmenas,tipo_de_colmenas,tipo_de_colmenas,tipo_de_colmenas
total_nacional_región,total,total,colmenas_modernas_5,colmenas_modernas_5,colmenas_rústicas_6,colmenas_rústicas_6
total_nacional_región,"número_de_upa3,4",número_de_colmenas,número_de_upa4,número_de_colmenas,número_de_upa4,número_de_colmenas
total_nacional,5909.0,333037.0,4997.0,306758.0,995.0,26279.0
región_de_arica_y_parinacota,6.0,53.0,5.0,49.0,2.0,4.0
región_de_tarapacá,8.0,48.0,4.0,18.0,4.0,30.0
región_de_antofagasta,7.0,25.0,5.0,21.0,2.0,4.0
región_de_atacama,30.0,359.0,24.0,332.0,6.0,27.0
región_de_coquimbo,297.0,6448.0,230.0,5921.0,70.0,527.0
región_de_valparaíso,186.0,24658.0,165.0,22541.0,22.0,2117.0
región_metropolitana_de_santiago,209.0,29572.0,188.0,29298.0,23.0,274.0
región_del_libertador_general_be,387.0,50291.0,353.0,48967.0,34.0,1324.0
región_del_maule,686.0,63887.0,597.0,53961.0,95.0,9926.0
región_de_ñuble,444.0,38936.0,386.0,36789.0,61.0,2147.0
región_del_biobío,947.0,36048.0,824.0,33951.0,130.0,2097.0
región_de_la_araucanía,1690.0,38489.0,1402.0,34933.0,319.0,3556.0
región_de_los_ríos,456.0,16781.0,398.0,15987.0,65.0,794.0
región_de_los_lagos,536.0,27070.0,402.0,23666.0,155.0,3404.0
región_de_aysén_del_general_carl,29.0,366.0,22.0,318.0,7.0,48.0
región_de_magallanes_y_de_la_ant,1.0,6.0,1.0,6.0,0.0,0.0
fuente:_viii_censo_agropecuario,fuente:_viii_censo_agropecuario,fuente:_viii_censo_agropecuario,fuente:_viii_censo_agropecuario,fuente:_viii_censo_agropecuario,fuente:_viii_censo_agropecuario,fuente:_viii_censo_agropecuario
notas:,notas:,notas:,notas:,notas:,notas:,notas:
1._upa_se_refiere_a_la_unidad_ec,1._upa_se_refiere_a_la_unidad_ec,1._upa_se_refiere_a_la_unidad_ec,1._upa_se_refiere_a_la_unidad_ec,1._upa_se_refiere_a_la_unidad_ec,1._upa_se_refiere_a_la_unidad_ec,1._upa_se_refiere_a_la_unidad_ec
2._una_upa_puede_estar_presente,2._una_upa_puede_estar_presente,2._una_upa_puede_estar_presente,2._una_upa_puede_estar_presente,2._una_upa_puede_estar_presente,2._una_upa_puede_estar_presente,2._una_upa_puede_estar_presente
3._la_sumatoria_del_número_de_up,3._la_sumatoria_del_número_de_up,3._la_sumatoria_del_número_de_up,3._la_sumatoria_del_número_de_up,3._la_sumatoria_del_número_de_up,3._la_sumatoria_del_número_de_up,3._la_sumatoria_del_número_de_up
4._en_el_marco_del_proceso_de_co,4._en_el_marco_del_proceso_de_co,4._en_el_marco_del_proceso_de_co,4._en_el_marco_del_proceso_de_co,4._en_el_marco_del_proceso_de_co,4._en_el_marco_del_proceso_de_co,4._en_el_marco_del_proceso_de_co
5._colmenas_modernas:_son_aquell,5._colmenas_modernas:_son_aquell,5._colmenas_modernas:_son_aquell,5._colmenas_modernas:_son_aquell,5._colmenas_modernas:_son_aquell,5._colmenas_modernas:_son_aquell,5._colmenas_modernas:_son_aquell
6._colmenas_rústicas:_son_aquell,6._colmenas_rústicas:_son_aquell,6._colmenas_rústicas:_son_aquell,6._colmenas_rústicas:_son_aquell,6._colmenas_rústicas:_son_aquell,6._colmenas_rústicas:_son_aquell,6._colmenas_rústicas:_son_aquell
