0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
"","",tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años)
"","",total_personas_productoras_natur,total_personas_productoras_natur,total_personas_productoras_natur,total_personas_productoras_natur,total_personas_productoras_natur,productores_hombres,productores_hombres,productores_hombres,productores_hombres,productores_hombres,productoras_mujeres,productoras_mujeres,productoras_mujeres,productoras_mujeres,productoras_mujeres,no_sabe._no_responde_3,no_sabe._no_responde_3,no_sabe._no_responde_3,no_sabe._no_responde_3,no_sabe._no_responde_3
total_nacional_región,total_personas_productoras,18_24,25_49,50_64,65_y_más,no_declara_edad,18_24,25_49,50_64,65_y_más,no_declara_edad,18_24,25_49,50_64,65_y_más,no_declara_edad,18_24,25_49,50_64,65_y_más,no_declara_edad
total_nacional,129607.0,812.0,28928.0,51049.0,48817.0,1.0,519.0,18526.0,34503.0,34529.0,1.0,280.0,10189.0,16145.0,13868.0,0.0,13.0,213.0,401.0,420.0,0.0
región_de_arica_y_parinacota,1220.0,18.0,497.0,419.0,286.0,0.0,15.0,355.0,288.0,185.0,0.0,3.0,142.0,130.0,99.0,0.0,0.0,0.0,1.0,2.0,0.0
región_de_tarapacá,807.0,22.0,280.0,229.0,276.0,0.0,14.0,177.0,142.0,199.0,0.0,8.0,103.0,86.0,77.0,0.0,0.0,0.0,1.0,0.0,0.0
región_de_antofagasta,706.0,2.0,196.0,288.0,220.0,0.0,2.0,113.0,143.0,118.0,0.0,0.0,80.0,137.0,94.0,0.0,0.0,3.0,8.0,8.0,0.0
región_de_atacama,1239.0,4.0,244.0,471.0,520.0,0.0,1.0,158.0,335.0,381.0,0.0,3.0,85.0,135.0,137.0,0.0,0.0,1.0,1.0,2.0,0.0
región_de_coquimbo,6315.0,24.0,1223.0,2422.0,2646.0,0.0,19.0,796.0,1696.0,1899.0,0.0,5.0,421.0,721.0,738.0,0.0,0.0,6.0,5.0,9.0,0.0
región_de_valparaíso,4357.0,15.0,872.0,1756.0,1714.0,0.0,12.0,640.0,1393.0,1392.0,0.0,1.0,222.0,353.0,311.0,0.0,2.0,10.0,10.0,11.0,0.0
región_metropolitana_de_santiago,4806.0,41.0,1104.0,1820.0,1841.0,0.0,35.0,895.0,1492.0,1530.0,0.0,5.0,204.0,324.0,303.0,0.0,1.0,5.0,4.0,8.0,0.0
región_del_libertador_general_be,7446.0,20.0,1538.0,2947.0,2940.0,1.0,17.0,1240.0,2370.0,2430.0,1.0,3.0,293.0,559.0,498.0,0.0,0.0,5.0,18.0,12.0,0.0
región_del_maule,15514.0,77.0,3331.0,6356.0,5750.0,0.0,55.0,2395.0,4674.0,4367.0,0.0,21.0,908.0,1616.0,1311.0,0.0,1.0,28.0,66.0,72.0,0.0
región_de_ñuble,11470.0,69.0,2392.0,4678.0,4331.0,0.0,46.0,1688.0,3381.0,3188.0,0.0,21.0,678.0,1243.0,1070.0,0.0,2.0,26.0,54.0,73.0,0.0
región_del_biobío,11931.0,85.0,2546.0,4765.0,4535.0,0.0,48.0,1522.0,2959.0,3160.0,0.0,34.0,993.0,1756.0,1333.0,0.0,3.0,31.0,50.0,42.0,0.0
región_de_la_araucanía,35692.0,271.0,8735.0,13743.0,12943.0,0.0,153.0,5114.0,8804.0,8765.0,0.0,115.0,3559.0,4825.0,4074.0,0.0,3.0,62.0,114.0,104.0,0.0
región_de_los_ríos,8131.0,51.0,1727.0,3293.0,3060.0,0.0,32.0,883.0,1917.0,1961.0,0.0,19.0,826.0,1359.0,1082.0,0.0,0.0,18.0,17.0,17.0,0.0
región_de_los_lagos,17671.0,104.0,3750.0,6976.0,6841.0,0.0,65.0,2193.0,4285.0,4309.0,0.0,38.0,1544.0,2644.0,2478.0,0.0,1.0,13.0,47.0,54.0,0.0
región_de_aysén_del_general_carl,1878.0,9.0,401.0,743.0,725.0,0.0,5.0,294.0,533.0,517.0,0.0,4.0,102.0,207.0,205.0,0.0,0.0,5.0,3.0,3.0,0.0
región_de_magallanes_y_de_la_ant,424.0,0.0,92.0,143.0,189.0,0.0,0.0,63.0,91.0,128.0,0.0,0.0,29.0,50.0,58.0,0.0,0.0,0.0,2.0,3.0,0.0
