total_nacional_region,total_numero_de_upa_34,orientacion_principal_3__produccion_de_miel,orientacion_principal_3__polinizacion_5,orientacion_principal_3__otra_finalidad_6,orientacion_principal_3__no_sabe._no_responde
Región del Libertador General Bernardo O'Higgins,387,227,58,10,92
Región del Maule,686,449,65,8,165
Región de Ñuble,444,314,24,10,96
Región del Biobío,947,758,10,8,171
Región de La Araucanía,1690,1318,27,27,319
Región de Los Ríos,456,299,15,10,132
Región de Los Lagos,536,349,6,2,179
Región de Aysén del General Carlos Ibáñez del Campo,29,6,5,1,17
Región de Magallanes y de la Antártica Chilena,1,0,0,0,1
